,ID2,ID,State,Sex,Start,End,COD,Days.Monitored,Year_Status,Survival,Status_clean
81,GA27F,"[GA27F,Intercept]",GA,F,1/23/2016,3/6/2017,Unknown,408,Dead,0,both
87,GA33M,"[GA33M,Intercept]",GA,M,1/26/2016,6/21/2016,Unknown,147,Dead,0,transient
93,GA39F,"[GA39F,Intercept]",GA,F,1/29/2016,10/4/2016,Unknown,249,Dead,0,both
105,GA51M,"[GA51M,Intercept]",GA,M,2/3/2016,12/15/2016,Unknown,316,Dead,0,transient
107,GA53M,"[GA53M,Intercept]",GA,M,2/7/2016,11/6/2016,Unknown,273,Dead,0,transient
115,SC08M,"[SC08M,Intercept]",SC,M,3/14/2015,11/1/2015,Unknown,232,Dead,0,resident
154,SC47M,"[SC47M,Intercept]",SC,M,1/13/2016,5/1/2016,Unknown,109,Dead,0,transient
3,AL03M,"[AL03M,Intercept]",AL,M,2/9/2015,2/25/2016,Vehicle,381,Dead,0,resident
12,AL12M,"[AL12M,Intercept]",AL,M,2/4/2015,2/19/2015,Vehicle,15,Dead,0,unknown
18,AL18M,"[AL18M,Intercept]",AL,M,2/16/2015,4/14/2016,Vehicle,423,Dead,0,transient
41,AL41F,"[AL41F,Intercept]",AL,F,10/24/2015,2/20/2016,Vehicle,119,Dead,0,transient
52,AL52F,"[AL52F,Intercept]",AL,F,10/29/2015,11/25/2015,Vehicle,27,Dead,0,unknown
58,GA04M,"[GA04M,Intercept]",GA,M,1/21/2015,11/2/2015,Vehicle,285,Dead,0,both
59,GA05F,"[GA05F,Intercept]",GA,F,1/23/2015,9/24/2015,Vehicle,244,Dead,0,both
65,GA11F,"[GA11F,Intercept]",GA,F,2/3/2015,2/13/2015,Vehicle,10,Dead,0,transient
72,GA18M,"[GA18M,Intercept]",GA,M,1/22/2015,2/8/2015,Vehicle,17,Dead,0,transient
123,SC16F,"[SC16F,Intercept]",SC,F,4/2/2015,12/11/2015,Vehicle,253,Dead,0,transient
149,SC42F,"[SC42F,Intercept]",SC,F,1/12/2016,3/30/2016,Vehicle,78,Dead,1,resident
182,SC75F,"[SC75F,Intercept]",SC,F,1/28/2017,3/16/2017,Vehicle,47,Dead,0,unknown
